"","id","c000","ca01","ca02","ca03","ce01","ce02","ce03","cns01","cns02","cns03","cns04","cns05","cns06","cns07","cns08","cns09","cns10","cns11","cns12","cns13","cns14","cns15","cns16","cns17","cns18","cns19","cns20","cr01","cr02","cr03","cr04","cr05","cr07","ct01","ct02","cd01","cd02","cd03","cd04","cg01","cg02"
"1525","360050233021001",5,0,3,2,2,2,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,1,4,3,2,0,0,3,2
"1526","360050233022000",4,2,1,1,0,3,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,1,1,0,1,0,3,1
"1527","360050233022001",4,0,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,4,0,1,2,1,2,2
"1528","360050235011000",26,2,23,1,7,18,1,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,3,0,0,17,6,0,3,0,0,11,15,2,11,7,4,20,6
"1529","360050235011001",111,44,59,8,31,37,43,0,0,0,0,3,0,11,1,0,0,0,39,0,0,0,56,0,0,0,1,73,21,0,15,1,1,63,48,11,17,14,25,32,79
"1530","360050235011002",98,20,58,20,16,27,55,0,0,0,0,0,0,6,0,2,0,1,0,0,0,0,82,0,0,7,0,44,20,2,28,0,4,63,35,14,14,15,35,48,50
"1531","360050235011003",27,8,15,4,8,8,11,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,16,0,0,0,0,20,2,0,4,0,1,13,14,3,3,5,8,8,19
"1532","360050235011004",2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,1,0,0,0,2
"1533","360050235011005",61,13,42,6,15,32,14,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,51,0,1,0,0,27,31,0,3,0,0,48,13,8,15,14,11,31,30
"1534","360050235012000",13,1,8,4,8,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,4,0,4,0,0,7,4,0,1,0,1,7,6,8,2,1,1,6,7
